Time,Well1,Well2,Well3,Well4,Well5,Well6,Well7,Well8
0,0.122,0.098,0.111,0.116,0.181,0.18,0.187,0.184
15,0.09,0.091,0.09,0.09,0.161,0.161,0.159,0.159
30,0.092,0.093,0.092,0.092,0.186,0.186,0.185,0.185
45,0.097,0.097,0.097,0.097,0.227,0.228,0.227,0.228
60,0.105,0.105,0.105,0.104,0.299,0.3,0.3,0.301
75,0.118,0.116,0.118,0.117,0.394,0.394,0.395,0.395
90,0.138,0.136,0.138,0.137,0.511,0.512,0.514,0.516
105,0.171,0.168,0.171,0.171,0.653,0.654,0.655,0.656
120,0.227,0.223,0.227,0.226,0.802,0.803,0.802,0.804
135,0.302,0.297,0.304,0.302,0.943,0.943,0.944,0.946
150,0.375,0.371,0.386,0.379,1.074,1.074,1.074,1.076
165,0.454,0.441,0.459,0.451,1.203,1.203,1.205,1.207
180,0.59,0.56,0.568,0.573,1.334,1.334,1.334,1.336
195,0.77,0.744,0.761,0.762,1.434,1.432,1.435,1.439
210,0.907,0.886,0.903,0.9,1.52,1.516,1.522,1.52
225,1.048,1.024,1.04,1.036,1.584,1.582,1.585,1.582
240,1.201,1.179,1.193,1.189,1.633,1.629,1.631,1.629
255,1.338,1.316,1.328,1.324,1.677,1.671,1.675,1.669
270,1.451,1.429,1.439,1.435,1.71,1.705,1.707,1.707
285,1.538,1.514,1.524,1.522,1.737,1.733,1.735,1.731
300,1.598,1.576,1.583,1.582,1.754,1.75,1.75,1.75
315,1.653,1.629,1.633,1.635,1.784,1.774,1.778,1.776
330,1.696,1.673,1.681,1.675,1.804,1.796,1.802,1.796
345,1.728,1.706,1.713,1.71,1.823,1.817,1.819,1.817
360,1.748,1.724,1.734,1.73,1.838,1.834,1.837,1.837
375,1.772,1.749,1.756,1.754,1.861,1.857,1.86,1.859
390,1.798,1.778,1.784,1.78,1.879,1.875,1.879,1.879
405,1.824,1.798,1.81,1.804,1.897,1.893,1.897,1.899
420,1.841,1.821,1.828,1.821,1.911,1.905,1.911,1.915
435,1.865,1.841,1.848,1.845,1.927,1.923,1.931,1.933
450,1.885,1.864,1.869,1.864,1.941,1.94,1.945,1.948
465,1.907,1.879,1.885,1.883,1.954,1.953,1.959,1.962
480,1.927,1.899,1.903,1.901,1.967,1.965,1.972,1.976
495,1.937,1.911,1.915,1.913,1.977,1.976,1.98,1.988
510,1.953,1.927,1.931,1.929,1.992,1.989,1.997,2.004
525,1.965,1.941,1.944,1.939,1.998,2,2.005,2.016
540,1.981,1.954,1.957,1.955,2.015,2.013,2.021,2.028
555,1.994,1.969,1.971,1.966,2.025,2.024,2.033,2.04
570,2.005,1.983,1.987,1.98,2.037,2.037,2.044,2.053
585,2.017,1.997,1.996,1.994,2.052,2.051,2.057,2.065
600,2.032,2.008,2.008,2.004,2.06,2.06,2.069,2.076
615,2.04,2.017,2.016,2.016,2.071,2.069,2.08,2.089
630,2.061,2.037,2.036,2.033,2.088,2.084,2.095,2.108
645,2.073,2.048,2.045,2.041,2.095,2.095,2.104,2.124
660,2.083,2.059,2.056,2.053,2.104,2.108,2.119,2.129
675,2.097,2.075,2.072,2.069,2.123,2.124,2.138,2.149
690,2.111,2.087,2.087,2.081,2.134,2.137,2.148,2.161
705,2.107,2.1,2.097,2.092,2.153,2.15,2.162,2.173
720,2.137,2.112,2.112,2.107,2.161,2.164,2.173,2.188
735,2.145,2.123,2.117,2.117,2.172,2.174,2.185,2.188
750,2.161,2.137,2.136,2.13,2.181,2.182,2.192,2.198
765,2.169,2.149,2.145,2.141,2.19,2.185,2.196,2.205
780,2.181,2.161,2.157,2.153,2.196,2.2,2.208,2.216
795,2.194,2.176,2.169,2.165,2.205,2.201,2.209,2.217
810,2.201,2.184,2.178,2.172,2.209,2.206,2.213,2.217
825,2.21,2.194,2.193,2.188,2.213,2.21,2.217,2.221
840,2.221,2.201,2.202,2.201,2.221,2.21,2.213,2.224
855,2.23,2.208,2.212,2.209,2.218,2.216,2.214,2.221
870,2.246,2.213,2.217,2.213,2.224,2.222,2.224,2.225
885,2.242,2.217,2.225,2.224,2.225,2.213,2.225,2.226
900,2.249,2.218,2.226,2.224,2.221,2.221,2.221,2.229
915,2.249,2.222,2.238,2.226,2.222,2.217,2.225,2.226
930,2.261,2.224,2.234,2.232,2.224,2.221,2.228,2.23
945,2.253,2.224,2.236,2.232,2.225,2.222,2.225,2.229
960,2.257,2.225,2.237,2.234,2.228,2.221,2.229,2.232
975,2.258,2.225,2.234,2.234,2.225,2.221,2.228,2.229
990,2.254,2.228,2.241,2.23,2.224,2.222,2.225,2.229
1005,2.254,2.224,2.238,2.234,2.224,2.217,2.228,2.228
1020,2.255,2.228,2.24,2.237,2.228,2.225,2.229,2.226
1035,2.257,2.229,2.245,2.237,2.225,2.222,2.226,2.229
1050,2.254,2.228,2.241,2.234,2.229,2.222,2.225,2.224
1065,2.258,2.23,2.244,2.238,2.229,2.225,2.226,2.229
1080,2.257,2.225,2.244,2.242,2.224,2.222,2.225,2.225
1095,2.257,2.224,2.241,2.238,2.225,2.221,2.222,2.225
1110,2.254,2.226,2.24,2.24,2.221,2.221,2.221,2.224
1125,2.255,2.225,2.245,2.233,2.218,2.22,2.221,2.134
1140,2.262,2.228,2.241,2.233,2.22,2.224,2.217,2.221
1155,2.258,2.221,2.238,2.229,2.222,2.216,2.209,2.221
1170,2.254,2.233,2.241,2.236,2.221,2.217,2.221,2.22
1185,2.261,2.222,2.238,2.238,2.22,2.214,2.213,2.221
1200,2.253,2.221,2.236,2.234,2.226,2.214,2.216,2.213
1215,2.251,2.224,2.237,2.228,2.217,2.212,2.212,2.217
1230,2.253,2.221,2.236,2.234,2.217,2.22,2.213,2.217
1245,2.251,2.225,2.24,2.234,2.216,2.213,2.21,2.213
1260,2.25,2.214,2.237,2.232,2.214,2.209,2.212,2.213
1275,2.25,2.222,2.234,2.234,2.217,2.21,2.213,2.212
1290,2.25,2.217,2.236,2.232,2.21,2.208,2.206,2.21
1305,2.251,2.22,2.236,2.229,2.213,2.204,2.205,2.209
1320,2.246,2.214,2.229,2.225,2.206,2.204,2.202,2.205
1335,2.246,2.217,2.236,2.226,2.212,2.205,2.205,2.204
1350,2.246,2.22,2.232,2.228,2.205,2.202,2.201,2.206
1365,2.245,2.216,2.234,2.229,2.209,2.201,2.2,2.201
1380,2.246,2.213,2.233,2.226,2.206,2.201,2.193,2.198
1395,2.242,2.213,2.232,2.224,2.201,2.198,2.198,2.196
1410,2.234,2.208,2.225,2.217,2.197,2.196,2.192,2.193
1425,2.238,2.21,2.23,2.224,2.197,2.193,2.192,2.192
1440,2.238,2.206,2.225,2.224,2.197,2.193,2.193,2.197
